0.0628,0.676,0.6132,0.0642,0.2537,0.1895,0.0647,0.9258,0.8611,0.0985,2.1108,2.0123,0.0652,1.191,1.1258,0.0679,0.9008,0.8329
0.0518,1.069,1.0172,0.0597,0.678,0.6183,0.0523,0.2363,0.184,0.0824,1.3456,1.2632,0.0562,1.4341,1.3779,0.0684,0.8113,0.7429
0.0562,1.3375,1.2813,0.0499,0.3793,0.3294,0.0383,0.2273,0.189,0.0652,1.516,1.4508,0.0552,1.4481,1.3929,0.0605,1.1174,1.0569
0.046,0.5399,0.4939,0.0504,0.3272,0.2768,0.037,0.2138,0.1768,0.0531,1.4715,1.4184,0.052,1.0495,0.9975,0.0562,0.9447,0.8885
0.0446,0.5918,0.5472,0.043,0.2995,0.2565,0.0357,0.1859,0.1502,0.075,1.6591,1.5841,0.0407,0.9457,0.905,0.0715,1.5099,1.4384
0.0462,0.4689,0.4227,0.0531,0.4996,0.4465,0.0544,0.1948,0.1404,0.1085,0.9843,0.8758,0.052,1.2126,1.1606,0.0504,0.8735,0.8231
0.042,0.4248,0.3828,0.0433,0.251,0.2077,0.0354,0.1684,0.133,0.0737,1.1292,1.0555,0.0465,0.9338,0.8873,0.0673,0.8962,0.8289
0.0475,0.4849,0.4374,0.0502,0.4278,0.3776,0.0518,0.2218,0.17,0.0839,1.155,1.0711,0.0425,1.2469,1.2044,0.0549,0.7315,0.6766
0.0779,0.7988,0.7209,0.0449,0.4426,0.3977,0.042,0.1518,0.1098,0.1045,1.236,1.1315,0.0394,0.6309,0.5915,0.0512,0.9901,0.9389
0.037,0.4781,0.4411,0.0436,0.2714,0.2278,0.0433,0.1972,0.1539,0.0818,0.8906,0.8088,0.0489,0.6161,0.5672,0.0565,1.0446,0.9881
0.0525,0.5398,0.4873,0.0483,0.3151,0.2668,0.0401,1.0476,1.0075,0.1167,0.8878,0.7711,0.051,0.8438,0.7928,0.0504,0.9886,0.9382
0.0394,0.4293,0.3899,0.0388,0.2824,0.2436,0.0312,0.1743,0.1431,0.0715,1.2716,1.2001,0.0481,1.0507,1.0026,0.0515,0.5165,0.465
0.047,0.5277,0.4807,0.0489,0.3978,0.3489,0.0246,0.373,0.3484,0.0966,0.9793,0.8827,0.042,1.4971,1.4551,0.0549,0.4236,0.3687
